record_id,raw_note,normalized_note,has_note,note_template_id,source_frequency,structured_labels,label_source,review_status
44,"Empresa familiar, decide el dueño directamente.","Empresa familiar, decide el dueño directamente.",True,NOTE-002,13,"{""requirements"": [], ""signals"": [], ""constraints"": [], ""priority"": ""normal"", ""action"": ""continue"", ""details"": {""unvalidated_source"": false, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""normal"", ""preferred_contact_channel"": null, ""data_confidence"": ""medium"", ""assignment_action"": ""continue"", ""decision_maker_type"": ""owner"", ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": null}, ""needs_review"": false, ""reason_codes"": [""OWNER_DECISION_MAKER""]}",approved_golden_with_context_rule,approved
45,"Está comparando tres propuestas, decide este mes.","Está comparando tres propuestas, decide este mes.",True,NOTE-006,11,"{""requirements"": [], ""signals"": [""competitive_process""], ""constraints"": [], ""priority"": ""high"", ""action"": ""continue"", ""details"": {""unvalidated_source"": false, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": true, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""high"", ""preferred_contact_channel"": null, ""data_confidence"": ""medium"", ""assignment_action"": ""continue"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": ""this_month"", ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": 3}, ""needs_review"": false, ""reason_codes"": [""COMPETITIVE_PROCESS"", ""COMPETITOR_COUNT"", ""DECISION_WINDOW"", ""URGENCY""]}",approved_golden_with_context_rule,approved
46,Llamar únicamente después de las 2 pm.,Llamar únicamente después de las 2 pm.,True,NOTE-012,6,"{""requirements"": [], ""signals"": [], ""constraints"": [""contact_after_time""], ""priority"": ""normal"", ""action"": ""continue"", ""details"": {""unvalidated_source"": false, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""normal"", ""preferred_contact_channel"": ""phone"", ""data_confidence"": ""medium"", ""assignment_action"": ""continue"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": ""14:00"", ""site_count"": null, ""competitor_count"": null}, ""needs_review"": false, ""reason_codes"": [""CONTACT_AFTER_TIME"", ""CONTACT_CHANNEL""]}",approved_golden_with_context_rule,approved
47,Insistió en hablar con alguien senior.,Insistió en hablar con alguien senior.,True,NOTE-011,7,"{""requirements"": [""seniority_requested""], ""signals"": [], ""constraints"": [], ""priority"": ""normal"", ""action"": ""continue"", ""details"": {""unvalidated_source"": false, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": true, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""normal"", ""preferred_contact_channel"": null, ""data_confidence"": ""medium"", ""assignment_action"": ""continue"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": null}, ""needs_review"": false, ""reason_codes"": [""SENIORITY_REQUESTED""]}",approved_golden_with_context_rule,approved
48,"Quiere propuesta para siete sedes, no para una.","Quiere propuesta para siete sedes, no para una.",True,NOTE-004,12,"{""requirements"": [], ""signals"": [], ""constraints"": [], ""priority"": ""normal"", ""action"": ""continue"", ""details"": {""unvalidated_source"": false, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""high"", ""urgency"": ""normal"", ""preferred_contact_channel"": null, ""data_confidence"": ""medium"", ""assignment_action"": ""continue"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": null, ""site_count"": 7, ""competitor_count"": null}, ""needs_review"": false, ""reason_codes"": [""COMPLEX_ACCOUNT"", ""SITE_COUNT""]}",approved_golden_with_context_rule,approved
49,"Quiere propuesta para siete sedes, no para una.","Quiere propuesta para siete sedes, no para una.",True,NOTE-004,12,"{""requirements"": [], ""signals"": [], ""constraints"": [], ""priority"": ""normal"", ""action"": ""continue"", ""details"": {""unvalidated_source"": false, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""high"", ""urgency"": ""normal"", ""preferred_contact_channel"": null, ""data_confidence"": ""medium"", ""assignment_action"": ""continue"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": null, ""site_count"": 7, ""competitor_count"": null}, ""needs_review"": false, ""reason_codes"": [""COMPLEX_ACCOUNT"", ""SITE_COUNT""]}",approved_golden_with_context_rule,approved
50,"Está comparando tres propuestas, decide este mes.","Está comparando tres propuestas, decide este mes.",True,NOTE-006,11,"{""requirements"": [], ""signals"": [""competitive_process""], ""constraints"": [], ""priority"": ""high"", ""action"": ""continue"", ""details"": {""unvalidated_source"": false, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": true, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""high"", ""preferred_contact_channel"": null, ""data_confidence"": ""medium"", ""assignment_action"": ""continue"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": ""this_month"", ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": 3}, ""needs_review"": false, ""reason_codes"": [""COMPETITIVE_PROCESS"", ""COMPETITOR_COUNT"", ""DECISION_WINDOW"", ""URGENCY""]}",approved_golden_with_context_rule,approved
51,,,False,,0,"{""requirements"": [], ""signals"": [], ""constraints"": [], ""priority"": ""normal"", ""action"": ""continue"", ""details"": {""unvalidated_source"": false, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""normal"", ""preferred_contact_channel"": null, ""data_confidence"": ""medium"", ""assignment_action"": ""continue"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": null}, ""needs_review"": false, ""reason_codes"": []}",empty_note_default,not_applicable
52,"Correo rebotado, el celular sí contesta.","Correo rebotado, el celular sí contesta.",True,NOTE-005,11,"{""requirements"": [], ""signals"": [], ""constraints"": [], ""priority"": ""normal"", ""action"": ""continue"", ""details"": {""unvalidated_source"": false, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""normal"", ""preferred_contact_channel"": ""phone"", ""data_confidence"": ""medium"", ""assignment_action"": ""continue"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": null}, ""needs_review"": false, ""reason_codes"": [""CONTACT_CHANNEL""]}",approved_golden_with_context_rule,approved
53,"Dejó los datos en el stand de la feria, mostró poco interés.","Dejó los datos en el stand de la feria, mostró poco interés.",True,NOTE-010,8,"{""requirements"": [], ""signals"": [""low_interest""], ""constraints"": [], ""priority"": ""low"", ""action"": ""continue"", ""details"": {""unvalidated_source"": false, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": true, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""low"", ""preferred_contact_channel"": null, ""data_confidence"": ""medium"", ""assignment_action"": ""continue"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": null}, ""needs_review"": false, ""reason_codes"": [""LOW_INTEREST"", ""URGENCY""]}",approved_golden_with_context_rule,approved
54,Lo refirió el gerente de una cuenta actual.,Lo refirió el gerente de una cuenta actual.,True,NOTE-009,9,"{""requirements"": [], ""signals"": [""referral_from_current_account""], ""constraints"": [], ""priority"": ""normal"", ""action"": ""continue"", ""details"": {""unvalidated_source"": false, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": true, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""normal"", ""preferred_contact_channel"": null, ""data_confidence"": ""high"", ""assignment_action"": ""continue"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": null}, ""needs_review"": false, ""reason_codes"": [""DATA_CONFIDENCE"", ""REFERRAL_FROM_CURRENT_ACCOUNT""]}",approved_golden_with_context_rule,approved
55,,,False,,0,"{""requirements"": [], ""signals"": [], ""constraints"": [], ""priority"": ""normal"", ""action"": ""continue"", ""details"": {""unvalidated_source"": false, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""normal"", ""preferred_contact_channel"": null, ""data_confidence"": ""medium"", ""assignment_action"": ""continue"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": null}, ""needs_review"": false, ""reason_codes"": []}",empty_note_default,not_applicable
56,"Registro cargado desde base comprada, sin validar.","Registro cargado desde base comprada, sin validar.",True,NOTE-001,18,"{""requirements"": [], ""signals"": [""unvalidated_source""], ""constraints"": [], ""priority"": ""normal"", ""action"": ""validate_first"", ""details"": {""unvalidated_source"": true, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""normal"", ""preferred_contact_channel"": null, ""data_confidence"": ""low"", ""assignment_action"": ""validate_first"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": null}, ""needs_review"": false, ""reason_codes"": [""ACTION"", ""DATA_CONFIDENCE"", ""UNVALIDATED_SOURCE""]}",approved_golden_with_context_rule,approved
57,"Está comparando tres propuestas, decide este mes.","Está comparando tres propuestas, decide este mes.",True,NOTE-006,11,"{""requirements"": [], ""signals"": [""competitive_process""], ""constraints"": [], ""priority"": ""high"", ""action"": ""continue"", ""details"": {""unvalidated_source"": false, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": true, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""high"", ""preferred_contact_channel"": null, ""data_confidence"": ""medium"", ""assignment_action"": ""continue"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": ""this_month"", ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": 3}, ""needs_review"": false, ""reason_codes"": [""COMPETITIVE_PROCESS"", ""COMPETITOR_COUNT"", ""DECISION_WINDOW"", ""URGENCY""]}",approved_golden_with_context_rule,approved
58,"Correo rebotado, el celular sí contesta.","Correo rebotado, el celular sí contesta.",True,NOTE-005,11,"{""requirements"": [], ""signals"": [], ""constraints"": [], ""priority"": ""normal"", ""action"": ""continue"", ""details"": {""unvalidated_source"": false, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""normal"", ""preferred_contact_channel"": ""phone"", ""data_confidence"": ""medium"", ""assignment_action"": ""continue"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": null}, ""needs_review"": false, ""reason_codes"": [""CONTACT_CHANNEL""]}",approved_golden_with_context_rule,approved
59,"Está comparando tres propuestas, decide este mes.","Está comparando tres propuestas, decide este mes.",True,NOTE-006,11,"{""requirements"": [], ""signals"": [""competitive_process""], ""constraints"": [], ""priority"": ""high"", ""action"": ""continue"", ""details"": {""unvalidated_source"": false, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": true, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""high"", ""preferred_contact_channel"": null, ""data_confidence"": ""medium"", ""assignment_action"": ""continue"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": ""this_month"", ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": 3}, ""needs_review"": false, ""reason_codes"": [""COMPETITIVE_PROCESS"", ""COMPETITOR_COUNT"", ""DECISION_WINDOW"", ""URGENCY""]}",approved_golden_with_context_rule,approved
60,Tiene contrato vigente con otro proveedor hasta diciembre.,Tiene contrato vigente con otro proveedor hasta diciembre.,True,NOTE-007,10,"{""requirements"": [], ""signals"": [""existing_contract""], ""constraints"": [], ""priority"": ""future"", ""action"": ""schedule_later"", ""details"": {""unvalidated_source"": false, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": false, ""existing_contract"": true, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""future"", ""preferred_contact_channel"": null, ""data_confidence"": ""medium"", ""assignment_action"": ""schedule_later"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": ""december"", ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": null}, ""needs_review"": false, ""reason_codes"": [""ACTION"", ""DECISION_WINDOW"", ""EXISTING_CONTRACT"", ""URGENCY""]}",approved_golden_with_context_rule,approved
61,,,False,,0,"{""requirements"": [], ""signals"": [], ""constraints"": [], ""priority"": ""normal"", ""action"": ""continue"", ""details"": {""unvalidated_source"": false, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""normal"", ""preferred_contact_channel"": null, ""data_confidence"": ""medium"", ""assignment_action"": ""continue"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": null}, ""needs_review"": false, ""reason_codes"": []}",empty_note_default,not_applicable
62,"Dejó los datos en el stand de la feria, mostró poco interés.","Dejó los datos en el stand de la feria, mostró poco interés.",True,NOTE-010,8,"{""requirements"": [], ""signals"": [""low_interest""], ""constraints"": [], ""priority"": ""low"", ""action"": ""continue"", ""details"": {""unvalidated_source"": false, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": true, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""low"", ""preferred_contact_channel"": null, ""data_confidence"": ""medium"", ""assignment_action"": ""continue"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": null}, ""needs_review"": false, ""reason_codes"": [""LOW_INTEREST"", ""URGENCY""]}",approved_golden_with_context_rule,approved
63,"Registro cargado desde base comprada, sin validar.","Registro cargado desde base comprada, sin validar.",True,NOTE-001,18,"{""requirements"": [], ""signals"": [""unvalidated_source""], ""constraints"": [], ""priority"": ""normal"", ""action"": ""validate_first"", ""details"": {""unvalidated_source"": true, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""normal"", ""preferred_contact_channel"": null, ""data_confidence"": ""low"", ""assignment_action"": ""validate_first"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": null}, ""needs_review"": false, ""reason_codes"": [""ACTION"", ""DATA_CONFIDENCE"", ""UNVALIDATED_SOURCE""]}",approved_golden_with_context_rule,approved
64,"Quiere propuesta para siete sedes, no para una.","Quiere propuesta para siete sedes, no para una.",True,NOTE-004,12,"{""requirements"": [], ""signals"": [], ""constraints"": [], ""priority"": ""normal"", ""action"": ""continue"", ""details"": {""unvalidated_source"": false, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""high"", ""urgency"": ""normal"", ""preferred_contact_channel"": null, ""data_confidence"": ""medium"", ""assignment_action"": ""continue"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": null, ""site_count"": 7, ""competitor_count"": null}, ""needs_review"": false, ""reason_codes"": [""COMPLEX_ACCOUNT"", ""SITE_COUNT""]}",approved_golden_with_context_rule,approved
65,"Está comparando tres propuestas, decide este mes.","Está comparando tres propuestas, decide este mes.",True,NOTE-006,11,"{""requirements"": [], ""signals"": [""competitive_process""], ""constraints"": [], ""priority"": ""high"", ""action"": ""continue"", ""details"": {""unvalidated_source"": false, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": true, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""high"", ""preferred_contact_channel"": null, ""data_confidence"": ""medium"", ""assignment_action"": ""continue"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": ""this_month"", ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": 3}, ""needs_review"": false, ""reason_codes"": [""COMPETITIVE_PROCESS"", ""COMPETITOR_COUNT"", ""DECISION_WINDOW"", ""URGENCY""]}",approved_golden_with_context_rule,approved
66,"Empresa familiar, decide el dueño directamente.","Empresa familiar, decide el dueño directamente.",True,NOTE-002,13,"{""requirements"": [], ""signals"": [], ""constraints"": [], ""priority"": ""normal"", ""action"": ""continue"", ""details"": {""unvalidated_source"": false, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""normal"", ""preferred_contact_channel"": null, ""data_confidence"": ""medium"", ""assignment_action"": ""continue"", ""decision_maker_type"": ""owner"", ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": null}, ""needs_review"": false, ""reason_codes"": [""OWNER_DECISION_MAKER""]}",approved_golden_with_context_rule,approved
67,"Dejó los datos en el stand de la feria, mostró poco interés.","Dejó los datos en el stand de la feria, mostró poco interés.",True,NOTE-010,8,"{""requirements"": [], ""signals"": [""low_interest""], ""constraints"": [], ""priority"": ""low"", ""action"": ""continue"", ""details"": {""unvalidated_source"": false, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": true, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""low"", ""preferred_contact_channel"": null, ""data_confidence"": ""medium"", ""assignment_action"": ""continue"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": null}, ""needs_review"": false, ""reason_codes"": [""LOW_INTEREST"", ""URGENCY""]}",approved_golden_with_context_rule,approved
68,"Registro cargado desde base comprada, sin validar.","Registro cargado desde base comprada, sin validar.",True,NOTE-001,18,"{""requirements"": [], ""signals"": [""unvalidated_source""], ""constraints"": [], ""priority"": ""normal"", ""action"": ""validate_first"", ""details"": {""unvalidated_source"": true, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""normal"", ""preferred_contact_channel"": null, ""data_confidence"": ""low"", ""assignment_action"": ""validate_first"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": null}, ""needs_review"": false, ""reason_codes"": [""ACTION"", ""DATA_CONFIDENCE"", ""UNVALIDATED_SOURCE""]}",approved_golden_with_context_rule,approved
69,"Registro cargado desde base comprada, sin validar.","Registro cargado desde base comprada, sin validar.",True,NOTE-001,18,"{""requirements"": [], ""signals"": [""unvalidated_source""], ""constraints"": [], ""priority"": ""normal"", ""action"": ""validate_first"", ""details"": {""unvalidated_source"": true, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""normal"", ""preferred_contact_channel"": null, ""data_confidence"": ""low"", ""assignment_action"": ""validate_first"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": null}, ""needs_review"": false, ""reason_codes"": [""ACTION"", ""DATA_CONFIDENCE"", ""UNVALIDATED_SOURCE""]}",approved_golden_with_context_rule,approved
70,"Correo rebotado, el celular sí contesta.","Correo rebotado, el celular sí contesta.",True,NOTE-005,11,"{""requirements"": [], ""signals"": [], ""constraints"": [], ""priority"": ""normal"", ""action"": ""continue"", ""details"": {""unvalidated_source"": false, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""normal"", ""preferred_contact_channel"": ""phone"", ""data_confidence"": ""medium"", ""assignment_action"": ""continue"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": null}, ""needs_review"": false, ""reason_codes"": [""CONTACT_CHANNEL""]}",approved_golden_with_context_rule,approved
71,Insistió en hablar con alguien senior.,Insistió en hablar con alguien senior.,True,NOTE-011,7,"{""requirements"": [""seniority_requested""], ""signals"": [], ""constraints"": [], ""priority"": ""normal"", ""action"": ""continue"", ""details"": {""unvalidated_source"": false, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": true, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""normal"", ""preferred_contact_channel"": null, ""data_confidence"": ""medium"", ""assignment_action"": ""continue"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": null}, ""needs_review"": false, ""reason_codes"": [""SENIORITY_REQUESTED""]}",approved_golden_with_context_rule,approved
72,Pidió que lo contacte alguien que conozca el sector.,Pidió que lo contacte alguien que conozca el sector.,True,NOTE-013,6,"{""requirements"": [""sector_expertise_requested""], ""signals"": [], ""constraints"": [], ""priority"": ""normal"", ""action"": ""continue"", ""details"": {""unvalidated_source"": false, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": true, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": true, ""account_complexity"": ""unknown"", ""urgency"": ""normal"", ""preferred_contact_channel"": null, ""data_confidence"": ""medium"", ""assignment_action"": ""continue"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": null}, ""needs_review"": true, ""reason_codes"": [""REQUIRES_MANUAL_REVIEW"", ""SECTOR_EXPERTISE_REQUESTED""]}",approved_golden_with_context_rule,approved
